Date,Close,High,Low,Open,Volume,ticker,titles
2020-01-02,72.620849609375,72.68129646149221,71.37322569622376,71.6270995236096,135480400,AAPL,Apple announces product
2020-01-03,71.9148178100586,72.67644657227763,71.68995732022762,71.84711763961168,146322800,AAPL,Apple announces product
2020-01-06,72.48784637451172,72.52653323692198,70.78324846628296,71.03470938256737,118387200,AAPL,Apple announces product
2020-01-07,72.14693450927734,72.75381577050801,71.9269071243437,72.49752175701711,108872000,AAPL,Market reacts
2020-01-08,73.3075180053711,73.60975223726805,71.84954036585081,71.84954036585081,132079200,AAPL,Apple announces product
2020-01-09,74.86461639404297,75.05804331745496,74.03528757623693,74.28674110091968,170108400,AAPL,Apple announces product
2020-01-10,75.03388214111328,75.59967116208304,74.53096758540974,75.09916946286842,140644800,AAPL,Market reacts
2020-01-13,76.63695526123047,76.66355572018004,75.23217063550615,75.35065151466098,121532000,AAPL,Market reacts
2020-01-14,75.6020736694336,76.78441745974806,75.47876712733354,76.57406362681236,161954400,AAPL,Apple announces product
2020-01-15,75.27806854248047,76.28390474886808,74.84526714361999,75.40138244543428,121923600,AAPL,Market reacts
2020-01-16,76.22103118896484,76.3322586671137,75.45940261877463,75.82208359303314,108829200,AAPL,Market reacts
2020-01-17,77.06490325927734,77.06731611579798,76.16303357048375,76.47010092249148,137816400,AAPL,Apple announces product
2020-01-21,76.5426254272461,77.1350000250309,76.40480486276103,76.69253240808335,110843200,AAPL,Market reacts
2020-01-22,76.81586456298828,77.36955242966053,76.72156392949498,77.02863128965336,101832400,AAPL,Market reacts
2020-01-23,77.1857681274414,77.26555469566965,76.3201653975001,76.86902733138429,104472000,AAPL,Apple announces product
2020-01-24,76.96334075927734,78.17711075717362,76.77232666197627,77.43240886934917,146537600,AAPL,Apple announces product
2020-01-27,74.7001953125,75.38202994564323,73.71611915121242,74.96857569534384,161940000,AAPL,Market reacts
2020-01-28,76.81343841552734,76.98510540061056,75.48360773770071,75.58274145549967,162234000,AAPL,Market reacts
2020-01-29,78.42130279541016,79.26997869647961,77.70561435491118,78.44790323902978,216229200,AAPL,Apple announces product
2020-01-30,78.30767822265625,78.36087174184341,77.06972800749904,77.50252948730524,126743200,AAPL,Analyst upgrade
2020-01-31,74.83563232421875,78.01996875174504,74.54065135459915,77.5968407350888,199588400,AAPL,Analyst upgrade
2020-02-03,74.63009643554688,75.79792627872014,73.0729850588055,73.57589958168212,173788400,AAPL,Market reacts
2020-02-04,77.09390258789062,77.28491667175436,75.83177225101083,76.23797325215806,136616400,AAPL,Apple announces product
2020-02-05,77.7225570678711,78.52287271376575,77.11808861152979,78.22305134186004,118826800,AAPL,Apple announces product
2020-02-06,78.63168334960938,78.63410358497025,77.43484006982592,77.99336840947814,105425600,AAPL,Analyst upgrade
2020-02-07,77.5628662109375,78.3796223944295,77.070873196759,78.12999061671879,117684000,AAPL,Analyst upgrade
2020-02-10,77.93122863769531,77.93122863769531,76.0650521291358,76.14502805818842,109348800,AAPL,Analyst upgrade
2020-02-11,77.46107482910156,78.50080665271824,77.24295118542182,78.42810123691775,94323200,AAPL,Apple announces product
2020-02-12,79.30058288574219,79.30542744679461,77.91185062961374,77.91185062961374,113730400,AAPL,Market reacts
2020-02-13,78.73589324951172,79.06308239609403,78.36750683488538,78.57108938477977,94747600,AAPL,Market reacts
2020-02-14,78.7552719116211,79.00490364230242,78.24631193166864,78.70437073623225,80113600,AAPL,Analyst upgrade
2020-02-18,77.313232421875,77.49500334449696,76.24926307124777,76.43103399386973,152531200,AAPL,Analyst upgrade
2020-02-19,78.43294525146484,78.66319139368892,77.55559872430071,77.55559872430071,93984000,AAPL,Analyst upgrade
2020-02-20,77.62828826904297,78.68256095291854,77.12175425598554,78.19299399872004,100566000,AAPL,Analyst upgrade
2020-02-21,75.87117004394531,77.66464882542346,75.25315194781216,77.22112369135226,129554000,AAPL,Apple announces product
2020-02-24,72.26727294921875,73.72144039286337,70.09814428354905,72.04430474977563,222195200,AAPL,Analyst upgrade
2020-02-25,69.81941986083984,73.32154259168735,69.34681990026353,72.93861510277681,230673600,AAPL,Analyst upgrade
2020-02-26,70.92700958251953,72.19456142629366,69.43648955817032,69.44376009892217,198054800,AAPL,Analyst upgrade
2020-02-27,66.2906265258789,69.31529668003056,66.15490485834736,68.12772839099156,320605600,AAPL,Analyst upgrade
2020-02-28,66.25186157226562,67.4757902084099,62.134146685522694,62.34985172812334,426510000,AAPL,Apple announces product
2020-03-02,72.41992950439453,73.05734046709884,67.30853410090411,68.41370027483313,341397200,AAPL,Apple announces product
