Date,Close,High,Low,Open,Volume,ticker
,AAPL,AAPL,AAPL,AAPL,AAPL,
2020-01-02,72.620849609375,72.68129646149221,71.37322569622376,71.6270995236096,135480400,AAPL
2020-01-03,71.91483306884766,72.67646199266805,71.6899725313061,71.84713288403621,146322800,AAPL
2020-01-06,72.48785400390625,72.52654087038833,70.78325591626742,71.03471685901826,118387200,AAPL
2020-01-07,72.14693450927734,72.75381577050801,71.9269071243437,72.49752175701711,108872000,AAPL
2020-01-08,73.3075180053711,73.60975223726805,71.84954036585081,71.84954036585081,132079200,AAPL
2020-01-09,74.8646240234375,75.05805096656148,74.03529512111521,74.28674867142341,170108400,AAPL
2020-01-10,75.03388214111328,75.59967116208304,74.53096758540974,75.09916946286842,140644800,AAPL
2020-01-13,76.63692474365234,76.66352519200935,75.23214067732687,75.35062150930146,121532000,AAPL
2020-01-14,75.60205841064453,76.7844019623262,75.47875189343146,76.57404817184627,161954400,AAPL
2020-01-15,75.278076171875,76.28391248020361,74.84527472915032,75.40139008732662,121923600,AAPL
2020-01-16,76.22105407714844,76.33228158869747,75.45942527825108,75.82210636141797,108829200,AAPL
2020-01-17,77.06488800048828,77.06730085653118,76.16301849026416,76.4700857814728,137816400,AAPL
2020-01-21,76.54263305664062,77.13500771347044,76.4048124784183,76.69254005241989,110843200,AAPL
2020-01-22,76.81585693359375,77.3695447452734,76.72155630946642,77.02862363912672,101832400,AAPL
2020-01-23,77.18580627441406,77.26559288207466,76.32020311667209,76.8690653218164,104472000,AAPL
2020-01-24,76.96332550048828,78.17709525774193,76.77231144105775,77.43239351756245,146537600,AAPL
2020-01-27,74.70022583007812,75.38206074177405,73.71614926676186,74.96860632256451,161940000,AAPL
2020-01-28,76.81343841552734,76.98510540061056,75.48360773770071,75.58274145549967,162234000,AAPL
2020-01-29,78.42132568359375,79.2700018323593,77.70563703421264,78.44792613497704,216229200,AAPL
2020-01-30,78.30766296386719,78.36085647268922,77.06971298993307,77.50251438540494,126743200,AAPL
2020-01-31,74.83561706542969,78.01995284367814,74.54063615595594,77.59682491329659,199588400,AAPL
2020-02-03,74.63008117675781,75.79791078115785,73.07297011838175,73.57588453843302,173788400,AAPL
2020-02-04,77.09390258789062,77.28491667175436,75.83177225101083,76.23797325215806,136616400,AAPL
